,Formula,composition,Spacegroup,Formation Energy (eV),E Above Hull (eV),Band Gap (eV),Has Bandstructure,Volume,Nsites,Theoretical,Count,Density (gm/cc),Crystal System
mp-557881,SiO2,"{'Si': 1.0, 'O': 2.0}",Cm,-3.276,0.013,5.523,FALSE,694.694,36,FALSE,,1.723,monoclinic
mp-559872,SiO2,"{'Si': 1.0, 'O': 2.0}",P43212,-3.276,0.013,5.604,TRUE,506.153,36,FALSE,,2.365,tetragonal
mp-639741,SiO2,"{'Si': 1.0, 'O': 2.0}",Im3m,-3.276,0.013,5.664,TRUE,3402.596,144,TRUE,,1.407,cubic
mp-600084,SiO2,"{'Si': 1.0, 'O': 2.0}",Ibam,-3.276,0.013,5.549,TRUE,3466.153,192,TRUE,,1.842,orthorhombic
mp-600072,SiO2,"{'Si': 1.0, 'O': 2.0}",P4/nmm,-3.276,0.013,5.842,FALSE,3242.788,144,TRUE,,1.477,tetragonal
mp-667377,SiO2,"{'Si': 1.0, 'O': 2.0}",Cmce,-3.276,0.013,5.576,FALSE,3106.947,168,TRUE,,1.798,orthorhombic
mp-25233,V2O5,"{'V': 2.0, 'O': 5.0}",Cmcm,-2.293,0.013,2.425,TRUE,215.235,14,TRUE,,2.806,orthorhombic
mp-559545,SeO2,"{'Se': 1.0, 'O': 2.0}",Pmc21,-1.159,0.013,3.428,TRUE,392.309,24,FALSE,,3.757,orthorhombic
mvc-11561,MnO2,"{'Mn': 1.0, 'O': 2.0}",P63/mmc,-1.801,0.013,1.686,FALSE,314.195,24,TRUE,,3.676,hexagonal
mp-600007,SiO2,"{'Si': 1.0, 'O': 2.0}",Pmma,-3.276,0.013,5.607,TRUE,718.522,36,TRUE,,1.666,orthorhombic
mp-715514,V2O3,"{'V': 2.0, 'O': 3.0}",C2/c,-2.525,0.013,0.563,FALSE,107.392,10,FALSE,,4.635,monoclinic
mp-667368,SiO2,"{'Si': 1.0, 'O': 2.0}",Immm,-3.276,0.013,5.629,TRUE,1949.868,96,FALSE,,1.637,orthorhombic
